Date,CustomerID,OrderItems,TotalAmount,Channel,Rating,Comment
2024-05-01,C001,"Truffle Pizza, Lemonade",120,In-store,5,"Great atmosphere and amazing pizza!"
2024-05-01,C002,"Wagyu Burger, Coke",95,In-store,4,"Burger was juicy, but wait time was a bit long."
2024-05-01,C003,"Caesar Salad, Water",55,Delivery,3,"Salad was okay, but dressing was missing."
2024-05-02,C004,"Truffle Pizza, Red Wine",180,In-store,5,"Excellent wine selection."
2024-05-02,C001,"Margherita Pizza, Water",75,In-store,5,"Back for more! Best pizza in Dubai."
2024-05-03,C005,"Wagyu Burger, Fries, Shake",130,Delivery,4,"Best burger delivery so far."
2024-05-03,C006,"Pasta Carbonara, Garlic Bread",110,In-store,2,"Carbonara was too salty."
2024-05-04,C007,"Truffle Pizza, Wagyu Burger, 2 Beers",320,In-store,5,"Perfect for a group dinner."
2024-05-04,C008,"Caesar Salad, Lemonade",65,Delivery,4,"Fresh and healthy."
2024-05-05,C009,"Margherita Pizza, Coke",85,In-store,3,"Average pizza, nothing special."
2024-05-05,C010,"Wagyu Burger, Water",85,In-store,4,"Solid burger."
2024-05-06,C011,"Pasta Carbonara, Red Wine",155,In-store,5,"Better than last time, perfectly balanced."
2024-05-07,C002,"Wagyu Burger, Coke",95,In-store,5,"Repeat visit, still great."
2024-05-08,C012,"Truffle Pizza, Water",110,Delivery,5,"Arrived hot and fresh."
2024-05-09,C013,"Caesar Salad, Pasta Carbonara",135,In-store,4,"Good lunch spot."
2024-05-10,C014,"Wagyu Burger, Fries, Beer",125,In-store,5,"Love the vibes here."
2024-05-11,C001,"Truffle Pizza, Lemonade",120,In-store,5,"My favorite place now."
2024-05-12,C015,"Margherita Pizza, Red Wine",145,In-store,4,"Relaxing evening."
2024-05-13,C016,"Pasta Carbonara, Water",90,Delivery,3,"A bit cold when it arrived."
2024-05-14,C017,"Wagyu Burger, Coke",95,In-store,5,"Best Wagyu in town."
